Problema,Notiuni teoretice necesare
933-seism,"Parcurgere de vector, identificarea secvențelor continue, vector și pair, comparări și condiții, calculul maximului"
922-furnica,"Operare cu perechi (x,y), parcurgere secvențială, condiții și ramificări, maximizare de valori, aritmetică de bază, interpretare în funcție de cerință"
909-maxim,"Vectori statici, frecvențe de cifre, ferestre glisante (sliding window), comparare lexicografică pe vectori de frecvențe, determinarea maximului"
908-album,"Extracția cifrelor unui număr, sortare, grupare pe tipuri, vectori de vectori, parcurgere și marcare vizite, maximizare"
651-cmmdc,"CMMDC (__gcd), Sparse Table, logaritm în bază 2, parcurgeri imbricate, optimizare query-uri"
512-unificare,"Extracția cifrelor, stocare frecvențe de cifre, manipulare de vectori 2D, construcția de numere din cifre, comparații lexicografice"
511-ciocolata,"Determinarea modului, vector de frecvențe, tehnica doi pointeri, minimizarea diferenței între sume"
3638-mandatar,"Ciurul lui Eratostene, factorizare în numere prime, extragerea factorilor distincți, maximizare condiționată, lucru cu vectori mari"
3637-avion,"Ramificări condiționale, calcule aritmetice simple, împărțire în jumătăți, operare cu coordonate (r, scaun)"
809-carte,"Vectori, stocarea pozițiilor, detectarea secvențelor ordonate crescător, determinarea lungimii maxime și a indicelui"
775-pagini,"Vector de frecvențe, parcurgere liniară, identificarea secvențelor consecutive, determinarea maximului și a numărului de secvențe"
774-turnuri,"Matrice 2D, sumarea valorilor pe coloane, determinarea maximului, verificări condiționale pe coloane adiacente, numărare cazuri maxime"
763-furnica,"Matrice 2D, simulare mișcări pe baza codurilor direcționale, acumulare de valori, numărare frecvențe maxime, logică de joc pe grilă"
894-numere,"Operare cu cifre, inversarea numerelor, verificarea palindroamelor, generarea unor tipare numerice, cazuri speciale în funcție de parametri"
869-litere,"Lucru cu tablouri de caractere, construcție și manipulare de matrice, formatare în funcție de cerință, parcurgeri bidimensionale"
845-munte,"Vectori, identificarea vârfurilor, modificarea vectorului și recalcularea iterativă, numărare elemente"
844-imprimanta,"Operare cu cifre, vectori de proprietăți asociate cifrelor, determinarea valorii minime, construcția de numere în funcție de reguli modulare"
833-cladiri,"Operare cu cifre, determinarea cifrei maxime și a frecvenței, verificarea palindromului, sumarea diferențelor între cifre"
822-flori,"Vectori, sortare, simulare proces incremental cu condiții, sumă de secvență aritmetică, verificare praguri și numărare pași"
727-control,"Sortare, vectori statici, gruparea elementelor egale, operații modulo, test de primalitate"
716-gardul,"Algoritmul lui Euclid pentru CMMDC, CMMMC, aritmetică de bază, împărțiri întregi, numărare elemente pe categorii"
704-cuburi,"Vectori, frecvențe, parcurgere înainte/înapoi, secvențe maxime de elemente egale, combinare segmente, condiții if complexe"
703-valori-panta,"Descompunere în cifre, verificarea ordonării crescătoare/descrescătoare a cifrelor, determinarea maximului și minimului și pozițiilor acestora"
762-cod,"Tablouri de frecvență, parcurgere secvențială, identificarea elementelor cu frecvență impară, afișare directă"
752-cifre,"Descompunere în cifre, numărare cifre într-un interval mare, optimizare prin precalculare, aritmetică modulară, bucle imbricate"
739-numere,"Conversie numere din zecimal în binar, lucrul cu reprezentări binare, operații pe biți (shift), aritmetică pe baza reprezentării binare"
728-vanatoare,"Simulare pe baza șirului lui Fibonacci, aritmetică de bază, actualizare succesivă a resurselor, condiții de oprire în buclă while"